environment,candidate,policy,threshold,latency,harm,containment,benign_cost,disruption,false_alert,benign_collateral,attack_collateral
ideal,t12_l3,deception,12.0,3,8.415625,0.365625,3.975,3.975,0.5875,0.0,0.0
ideal,t12_l3,isolate,12.0,3,6.25,1.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l0,revoke,20.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l0,deception_silent,20.0,0,9.55625,0.16875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t20_l0,deception,20.0,0,7.915625,0.409375,3.275,3.275,0.31666666666666665,0.0,0.0
ideal,t20_l0,isolate,20.0,0,6.75,1.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l1,revoke,20.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l1,deception_silent,20.0,1,9.84375,0.071875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t20_l1,deception,20.0,1,8.425,0.34375,2.9458333333333333,2.9458333333333333,0.31666666666666665,0.0,0.0
ideal,t20_l1,isolate,20.0,1,7.5,1.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l3,revoke,20.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l3,deception_silent,20.0,3,10.4,0.046875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t20_l3,deception,20.0,3,9.115625,0.30625,2.7,2.7,0.31666666666666665,0.0,0.0
ideal,t20_l3,isolate,20.0,3,9.0,1.0,0.0,0.0,0.0,0.0,0.0
ideal,t1000_l0,revoke,1000.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t1000_l0,deception_silent,1000.0,0,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t1000_l0,deception,1000.0,0,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t1000_l0,isolate,1000.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t1000_l1,revoke,1000.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t1000_l1,deception_silent,1000.0,1,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t1000_l1,deception,1000.0,1,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t1000_l1,isolate,1000.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t1000_l3,revoke,1000.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t1000_l3,deception_silent,1000.0,3,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t1000_l3,deception,1000.0,3,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
ideal,t1000_l3,isolate,1000.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t3_l0,revoke,3.0,0,5.5,0.75,9.0,9.0,0.6666666666666666,0.0,0.0
coverage_half,t3_l0,deception_silent,3.0,0,1.63125,0.884375,9.958333333333334,9.958333333333334,0.6666666666666666,0.0,0.0
