environment,budget,alert_limit,policy,candidate,split,calibration_feasible,heldout_feasible,harm,containment,benign_cost,disruption,false_alert,benign_collateral,attack_collateral
ideal,6.0,0.34,deception,t20_l0,test,True,True,7.865,0.41125,3.2516666666666665,3.2516666666666665,0.305,0.0,0.0
ideal,6.0,0.34,deception,t20_l0,family_shift,True,False,2.445,0.545,9.18,9.18,0.9275,0.0,0.0
ideal,6.0,0.34,isolate,t8_l0,test,True,True,3.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
ideal,6.0,0.34,isolate,t8_l0,family_shift,True,False,3.5,1.0,9.5,9.5,1.0,0.0,0.0
ideal,6.0,0.67,revoke,t5_l0,test,True,True,5.5,0.75,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
ideal,6.0,0.67,revoke,t5_l0,family_shift,True,False,7.5,0.5,14.5,14.5,1.0,0.0,0.0
ideal,6.0,0.67,deception_silent,t5_l1,test,True,True,7.2625,0.55375,5.645,5.645,0.6666666666666666,0.0,0.0
ideal,6.0,0.67,deception_silent,t5_l1,family_shift,True,False,1.675,0.7525,14.4825,14.4825,1.0,0.0,0.0
ideal,6.0,0.67,deception,t12_l0,test,True,True,7.51375,0.47375,5.483333333333333,5.483333333333333,0.57,0.0,0.0
ideal,6.0,0.67,deception,t12_l0,family_shift,True,False,2.2,0.5975,13.6725,13.6725,0.995,0.0,0.0
ideal,6.0,0.67,isolate,t5_l0,test,True,True,2.0,1.0,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
ideal,6.0,0.67,isolate,t5_l0,family_shift,True,False,2.0,1.0,14.5,14.5,1.0,0.0,0.0
ideal,12.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,12.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
ideal,12.0,0.34,deception_silent,t8_l0,test,True,True,7.64375,0.47375,3.3066666666666666,3.3066666666666666,0.3333333333333333,0.0,0.0
ideal,12.0,0.34,deception_silent,t8_l0,family_shift,True,False,2.31,0.5975,11.1975,11.1975,1.0,0.0,0.0
ideal,12.0,0.34,deception,t20_l0,test,True,True,7.865,0.41125,3.2516666666666665,3.2516666666666665,0.305,0.0,0.0
ideal,12.0,0.34,deception,t20_l0,family_shift,True,False,2.445,0.545,9.18,9.18,0.9275,0.0,0.0
ideal,12.0,0.34,isolate,t8_l0,test,True,True,3.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
ideal,12.0,0.34,isolate,t8_l0,family_shift,True,False,3.5,1.0,9.5,9.5,1.0,0.0,0.0
ideal,12.0,0.67,revoke,t5_l0,test,True,True,5.5,0.75,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
ideal,12.0,0.67,revoke,t5_l0,family_shift,True,False,7.5,0.5,14.5,14.5,1.0,0.0,0.0
