environment,split,budget,alert_limit,silent_candidate,signal_candidate,calibration_feasible,heldout_both_feasible,metric,difference,ci_low,ci_high,seeds
ideal,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,benign_cost,1.485,1.3324375,1.6324999999999998,200
coverage_half,test,0.0,0.34,,,False,False,harm,,,,200
coverage_half,test,0.0,0.34,,,False,False,containment,,,,200
coverage_half,test,0.0,0.34,,,False,False,benign_cost,,,,200
coverage_half,test,0.0,0.67,,,False,False,harm,,,,200
coverage_half,test,0.0,0.67,,,False,False,containment,,,,200
coverage_half,test,0.0,0.67,,,False,False,benign_cost,,,,200
coverage_half,test,1.0,0.34,,,False,False,harm,,,,200
coverage_half,test,1.0,0.34,,,False,False,containment,,,,200
coverage_half,test,1.0,0.34,,,False,False,benign_cost,,,,200
coverage_half,test,1.0,0.67,,,False,False,harm,,,,200
coverage_half,test,1.0,0.67,,,False,False,containment,,,,200
coverage_half,test,1.0,0.67,,,False,False,benign_cost,,,,200
coverage_half,test,3.0,0.34,t8_l1,t20_l1,True,True,harm,0.25,0.1825,0.3212499999999999,200
coverage_half,test,3.0,0.34,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04375,-0.02,200
coverage_half,test,3.0,0.34,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06,0.010000000000000002,200
coverage_half,test,3.0,0.67,t8_l1,t20_l1,True,True,harm,0.25,0.1825,0.3212499999999999,200
coverage_half,test,3.0,0.67,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04375,-0.02,200
coverage_half,test,3.0,0.67,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06,0.010000000000000002,200
coverage_half,test,6.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.14375,0.31125,200
coverage_half,test,6.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.0825,-0.045,200
coverage_half,test,6.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.108375,0.0017083333333333364,200
coverage_half,test,6.0,0.67,t5_l1,t12_l0,True,True,harm,0.25125,0.18871875,0.3175,200
coverage_half,test,6.0,0.67,t5_l1,t12_l0,True,True,containment,-0.08,-0.09625,-0.065,200
coverage_half,test,6.0,0.67,t5_l1,t12_l0,True,True,benign_cost,-0.16166666666666668,-0.40166666666666656,0.06499999999999999,200
coverage_half,test,12.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.14375,0.31125,200
coverage_half,test,12.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.0825,-0.045,200
coverage_half,test,12.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.108375,0.0017083333333333364,200
coverage_half,test,12.0,0.67,t5_l0,t5_l0,True,True,harm,0.0,0.0,0.0,200
coverage_half,test,12.0,0.67,t5_l0,t5_l0,True,True,containment,0.0,0.0,0.0,200
coverage_half,test,12.0,0.67,t5_l0,t5_l0,True,True,benign_cost,1.5166666666666666,1.3715833333333332,1.6867083333333333,200
coverage_half,family_shift,0.0,0.34,,,False,False,harm,,,,200
coverage_half,family_shift,0.0,0.34,,,False,False,containment,,,,200
coverage_half,family_shift,0.0,0.34,,,False,False,benign_cost,,,,200
coverage_half,family_shift,0.0,0.67,,,False,False,harm,,,,200
coverage_half,family_shift,0.0,0.67,,,False,False,containment,,,,200
coverage_half,family_shift,0.0,0.67,,,False,False,benign_cost,,,,200
coverage_half,family_shift,1.0,0.34,,,False,False,harm,,,,200
coverage_half,family_shift,1.0,0.34,,,False,False,containment,,,,200
coverage_half,family_shift,1.0,0.34,,,False,False,benign_cost,,,,200
coverage_half,family_shift,1.0,0.67,,,False,False,harm,,,,200
coverage_half,family_shift,1.0,0.67,,,False,False,containment,,,,200
coverage_half,family_shift,1.0,0.67,,,False,False,benign_cost,,,,200
coverage_half,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,harm,0.5725,0.4149999999999999,0.7575,200
coverage_half,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,containment,-0.0525,-0.075,-0.0325,200
coverage_half,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,benign_cost,-1.93,-2.1800625000000005,-1.685,200
coverage_half,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,harm,0.5725,0.4149999999999999,0.7575,200
coverage_half,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,containment,-0.0525,-0.075,-0.0325,200
coverage_half,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,benign_cost,-1.93,-2.1800625000000005,-1.685,200
coverage_half,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,harm,0.135,0.08,0.1950625,200
coverage_half,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,containment,-0.0525,-0.075,-0.0325,200
coverage_half,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,benign_cost,-2.0175,-2.2725,-1.7450000000000003,200
coverage_half,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,harm,0.525,0.42749999999999994,0.6275,200
coverage_half,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,containment,-0.155,-0.1875,-0.12249999999999998,200
coverage_half,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,benign_cost,-0.81,-1.1075,-0.5222499999999999,200
coverage_half,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,harm,0.135,0.08,0.1950625,200
coverage_half,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,containment,-0.0525,-0.075,-0.0325,200
coverage_half,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,benign_cost,-2.0175,-2.2725,-1.7450000000000003,200
coverage_half,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,harm,0.0,0.0,0.0,200
coverage_half,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,containment,0.0,0.0,0.0,200
coverage_half,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,benign_cost,1.485,1.3400000000000003,1.6350000000000002,200
reliability_half,test,0.0,0.34,,,False,False,harm,,,,200
reliability_half,test,0.0,0.34,,,False,False,containment,,,,200
reliability_half,test,0.0,0.34,,,False,False,benign_cost,,,,200
reliability_half,test,0.0,0.67,,,False,False,harm,,,,200
reliability_half,test,0.0,0.67,,,False,False,containment,,,,200
reliability_half,test,0.0,0.67,,,False,False,benign_cost,,,,200
reliability_half,test,1.0,0.34,,,False,False,harm,,,,200
reliability_half,test,1.0,0.34,,,False,False,containment,,,,200
reliability_half,test,1.0,0.34,,,False,False,benign_cost,,,,200
reliability_half,test,1.0,0.67,,,False,False,harm,,,,200
reliability_half,test,1.0,0.67,,,False,False,containment,,,,200
reliability_half,test,1.0,0.67,,,False,False,benign_cost,,,,200
reliability_half,test,3.0,0.34,t8_l1,t20_l1,True,True,harm,0.25,0.1825,0.32375,200
reliability_half,test,3.0,0.34,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04253125000000001,-0.02,200
reliability_half,test,3.0,0.34,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06166666666666666,0.008333333333333337,200
reliability_half,test,3.0,0.67,t8_l1,t20_l1,True,True,harm,0.25,0.1825,0.32375,200
reliability_half,test,3.0,0.67,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04253125000000001,-0.02,200
reliability_half,test,3.0,0.67,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06166666666666666,0.008333333333333337,200
reliability_half,test,6.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.14871874999999998,0.3125,200
reliability_half,test,6.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.08,-0.045,200
